Value,Count,Landforms_2020_3_31_USA_Clip,LC23_EVT_240_Clip,Landforms,EVT_NAME,EVT_PHYS,EVT_GP_N
28,973348.000000000000000,22,7975,Gentle slope,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
29,684930.000000000000000,32,7975,Valley/toe slope,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
30,557708.000000000000000,30,7977,Dry flat,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
31,23162.000000000000000,30,7905,Dry flat,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
32,39327.000000000000000,21,7973,Upper flat,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop
33,68492.000000000000000,30,7908,Dry flat,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
34,84085.000000000000000,30,7297,Dry flat,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
35,43063.000000000000000,22,7973,Gentle slope,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop
36,545721.000000000000000,39,9817,Pluvial flat,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
37,111643.000000000000000,39,7296,Pluvial flat,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
38,2938.000000000000000,21,7928,Upper flat,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland
39,69948.000000000000000,39,7297,Pluvial flat,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
40,79030.000000000000000,30,7929,Dry flat,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
41,606882.000000000000000,21,9817,Upper flat,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
42,7478.000000000000000,39,7927,Pluvial flat,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
43,48896.000000000000000,39,7929,Pluvial flat,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
44,290248.000000000000000,21,7310,Upper flat,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
45,139630.000000000000000,32,7296,Valley/toe slope,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
46,76971.000000000000000,32,7908,Valley/toe slope,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
47,508937.000000000000000,30,9817,Dry flat,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
48,21636.000000000000000,21,7925,Upper flat,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
49,18476.000000000000000,32,7421,Valley/toe slope,Central Tallgrass Prairie,Grassland,Tallgrass Prairie
50,12729.000000000000000,30,7421,Dry flat,Central Tallgrass Prairie,Grassland,Tallgrass Prairie
51,1931056.000000000000000,32,7977,Valley/toe slope,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
52,8434.000000000000000,39,7925,Pluvial flat,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
53,43423.000000000000000,30,7298,Dry flat,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity
54,152375.000000000000000,21,7297,Upper flat,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
55,67848.000000000000000,21,7298,Upper flat,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity
56,33931.000000000000000,21,7905,Upper flat,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
57,2027736.000000000000000,22,7977,Gentle slope,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
58,194950.000000000000000,22,7929,Gentle slope,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
59,63294.000000000000000,39,7908,Pluvial flat,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
60,123043.000000000000000,32,7929,Valley/toe slope,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
61,1029439.000000000000000,22,9817,Gentle slope,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
62,60001.000000000000000,22,7978,Gentle slope,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat
63,21219.000000000000000,39,7973,Pluvial flat,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop
64,330484.000000000000000,31,7977,Wet Flat,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
65,1628323.000000000000000,50,7292,Water,Open Water,Open Water,Open Water
66,3637.000000000000000,31,7412,Wet Flat,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie
67,38693.000000000000000,39,7298,Pluvial flat,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity
68,96584.000000000000000,31,7292,Wet Flat,Open Water,Open Water,Open Water
69,31946.000000000000000,50,9817,Water,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
70,173714.000000000000000,31,9180,Wet Flat,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
71,15160.000000000000000,50,7310,Water,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
72,1050882.000000000000000,22,7310,Gentle slope,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
73,18001.000000000000000,39,9180,Pluvial flat,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
74,5172.000000000000000,50,9315,Water,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
75,8496.000000000000000,32,7292,Valley/toe slope,Open Water,Open Water,Open Water
76,139241.000000000000000,22,7311,Gentle slope,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
77,1107.000000000000000,22,7292,Gentle slope,Open Water,Open Water,Open Water
78,10642.000000000000000,50,7977,Water,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
79,113093.000000000000000,50,9180,Water,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
80,27629.000000000000000,39,7292,Pluvial flat,Open Water,Open Water,Open Water
81,177152.000000000000000,31,7311,Wet Flat,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
82,42.000000000000000,39,9056,Pluvial flat,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests
83,127957.000000000000000,39,9179,Pluvial flat,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
84,106789.000000000000000,39,7311,Pluvial flat,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
85,156663.000000000000000,50,9179,Water,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
86,263840.000000000000000,31,7310,Wet Flat,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
87,108812.000000000000000,30,7311,Dry flat,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
88,240502.000000000000000,31,9817,Wet Flat,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
89,4639.000000000000000,21,9177,Upper flat,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests
90,2622.000000000000000,31,7978,Wet Flat,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat
91,5999.000000000000000,50,9318,Water,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation
92,130216.000000000000000,21,7311,Upper flat,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
93,6531.000000000000000,50,7311,Water,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
94,2046.000000000000000,31,7973,Wet Flat,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop
95,9675.000000000000000,50,9683,Water,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies
96,64071.000000000000000,21,7314,Upper flat,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
97,313722.000000000000000,31,9177,Wet Flat,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests
98,151.000000000000000,50,9056,Water,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests
99,28658.000000000000000,21,7302,Upper flat,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest
100,273027.000000000000000,30,7310,Dry flat,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
101,78442.000000000000000,30,7314,Dry flat,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
102,1109438.000000000000000,31,9179,Wet Flat,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests
103,13699.000000000000000,22,7421,Gentle slope,Central Tallgrass Prairie,Grassland,Tallgrass Prairie
104,151349.000000000000000,22,7314,Gentle slope,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
105,356823.000000000000000,24,7311,Sideslope SW warm,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
106,19406.000000000000000,24,7302,Sideslope SW warm,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest
107,2389.000000000000000,21,7909,Upper flat,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
108,973108.000000000000000,32,9817,Valley/toe slope,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
109,38282.000000000000000,22,7302,Gentle slope,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest
110,4031533.000000000000000,24,7310,Sideslope SW warm,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
111,1331940.000000000000000,32,7310,Valley/toe slope,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
112,6057.000000000000000,39,7412,Pluvial flat,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie
113,186399.000000000000000,32,7311,Valley/toe slope,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
114,23258.000000000000000,30,7302,Dry flat,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest
115,26809.000000000000000,31,9679,Wet Flat,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests
116,35817.000000000000000,32,7302,Valley/toe slope,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest
117,10192.000000000000000,50,7974,Water,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop
118,100721.000000000000000,22,7908,Gentle slope,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
119,45200.000000000000000,31,7302,Wet Flat,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest
120,46987.000000000000000,22,7905,Gentle slope,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
121,203594.000000000000000,22,7296,Gentle slope,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
122,4442.000000000000000,39,7481,Pluvial flat,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests
123,97685.000000000000000,31,7314,Wet Flat,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
124,2351.000000000000000,30,7481,Dry flat,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests
125,403.000000000000000,31,9056,Wet Flat,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests
126,420006.000000000000000,31,9178,Wet Flat,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests
127,1884950.000000000000000,24,7977,Sideslope SW warm,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland
128,5225.000000000000000,30,9180,Dry flat,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
129,8829.000000000000000,39,7302,Pluvial flat,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest
130,183889.000000000000000,39,7310,Pluvial flat,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
131,5433.000000000000000,30,9177,Dry flat,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests
132,76787.000000000000000,39,7314,Pluvial flat,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
133,43971.000000000000000,31,7481,Wet Flat,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests
134,9317.000000000000000,22,7395,Gentle slope,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna
135,111252.000000000000000,30,9315,Dry flat,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
136,12837.000000000000000,21,7927,Upper flat,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
137,1568.000000000000000,39,9112,Pluvial flat,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest
138,1052.000000000000000,39,7909,Pluvial flat,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
139,26917.000000000000000,30,7238,Dry flat,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland
140,123027.000000000000000,39,9315,Pluvial flat,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
141,285403.000000000000000,32,7314,Valley/toe slope,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
142,1824.000000000000000,39,7926,Pluvial flat,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest
143,48459.000000000000000,39,7362,Pluvial flat,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland
144,70466.000000000000000,39,7239,Pluvial flat,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland
145,3151.000000000000000,31,7905,Wet Flat,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
146,1233.000000000000000,30,7909,Dry flat,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland
147,972.000000000000000,39,7928,Pluvial flat,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland
148,55070.000000000000000,32,7239,Valley/toe slope,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland
149,24671.000000000000000,32,7925,Valley/toe slope,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
150,7071.000000000000000,31,7296,Wet Flat,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity
151,52547.000000000000000,30,7362,Dry flat,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland
152,154693.000000000000000,31,9318,Wet Flat,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation
153,210227.000000000000000,22,9315,Gentle slope,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
154,104338.000000000000000,21,9315,Upper flat,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
155,31484.000000000000000,22,7925,Gentle slope,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
156,2764.000000000000000,21,9180,Upper flat,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies
157,55551.000000000000000,39,9178,Pluvial flat,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests
158,4401562.000000000000000,23,7310,Sideslope NE cool,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland
159,2963.000000000000000,22,7906,Gentle slope,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
160,3463.000000000000000,31,7925,Wet Flat,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest
161,12116.000000000000000,50,9177,Water,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests
162,88400.000000000000000,30,7239,Dry flat,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland
163,18164.000000000000000,32,7238,Valley/toe slope,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland
164,236392.000000000000000,23,7299,Sideslope NE cool,Developed-Roads,Developed-Roads,Developed-Roads
165,55171.000000000000000,31,7299,Wet Flat,Developed-Roads,Developed-Roads,Developed-Roads
166,3076.000000000000000,32,7906,Valley/toe slope,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
167,46444.000000000000000,32,7905,Valley/toe slope,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest
168,5384.000000000000000,21,7906,Upper flat,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
169,3675.000000000000000,30,7906,Dry flat,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest
170,3034.000000000000000,21,9683,Upper flat,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies
171,2414.000000000000000,50,9183,Water,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies
172,457981.000000000000000,23,9817,Sideslope NE cool,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland
173,231710.000000000000000,23,7311,Sideslope NE cool,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna
174,2393.000000000000000,21,9112,Upper flat,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest
175,64566.000000000000000,21,7362,Upper flat,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland
176,2394.000000000000000,21,7926,Upper flat,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest
177,26141.000000000000000,39,9683,Pluvial flat,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies
178,2699.000000000000000,22,7412,Gentle slope,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie
179,99030.000000000000000,22,7297,Gentle slope,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
180,10589.000000000000000,21,7907,Upper flat,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
181,6561.000000000000000,30,7907,Dry flat,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
182,434.000000000000000,50,7302,Water,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest
183,7976.000000000000000,50,9178,Water,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests
184,10504.000000000000000,39,9317,Pluvial flat,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
185,2808.000000000000000,31,7907,Wet Flat,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
186,7304.000000000000000,30,7927,Dry flat,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest
187,2644.000000000000000,31,7908,Wet Flat,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous
188,6334.000000000000000,31,7929,Wet Flat,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous
189,66271.000000000000000,32,7297,Valley/toe slope,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity
190,1156.000000000000000,30,9120,Dry flat,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow
191,72356.000000000000000,39,9318,Pluvial flat,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation
192,10876.000000000000000,30,9314,Dry flat,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest
193,292936.000000000000000,32,9315,Valley/toe slope,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest
194,305.000000000000000,32,9177,Valley/toe slope,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests
195,9981.000000000000000,50,7314,Water,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
196,1316.000000000000000,50,7975,Water,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop
197,116753.000000000000000,31,9120,Wet Flat,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow
198,17617.000000000000000,50,9120,Water,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow
199,8904.000000000000000,30,9317,Dry flat,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
200,614.000000000000000,50,7481,Water,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests
201,11746.000000000000000,22,9317,Gentle slope,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
202,18941.000000000000000,30,9178,Dry flat,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests
203,19876.000000000000000,39,9177,Pluvial flat,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests
204,1933.000000000000000,21,7970,Upper flat,Eastern Cool Temperate Orchard,Agricultural,Agricultural-Orchard
205,14872.000000000000000,31,7421,Wet Flat,Central Tallgrass Prairie,Grassland,Tallgrass Prairie
206,10170.000000000000000,21,9318,Upper flat,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation
207,1704.000000000000000,32,7412,Valley/toe slope,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie
208,1869.000000000000000,21,7481,Upper flat,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests
209,15260.000000000000000,32,9317,Valley/toe slope,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub
210,29255.000000000000000,22,7362,Gentle slope,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland
211,8954.000000000000000,39,7907,Pluvial flat,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest
212,46474.000000000000000,22,7239,Gentle slope,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland
213,161420.000000000000000,31,9683,Wet Flat,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies
214,50254.000000000000000,22,9312,Gentle slope,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation
215,26057.000000000000000,39,7978,Pluvial flat,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat
216,33602.000000000000000,32,7362,Valley/toe slope,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland
217,39571.000000000000000,30,9312,Dry flat,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation
218,49869.000000000000000,32,9312,Valley/toe slope,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation
219,864001.000000000000000,23,7314,Sideslope NE cool,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest
