Value,Count,Landforms_2020_3_31_USA_Clip,LC23_EVT_240_Clip,Landforms,EVT_NAME,EVT_PHYS,EVT_GP_N,in_y_n
50,12729,30,7421,Dry flat,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
51,1931056,32,7977,Valley/toe slope,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
52,8434,39,7925,Pluvial flat,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
53,43423,30,7298,Dry flat,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
54,152375,21,7297,Upper flat,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
55,67848,21,7298,Upper flat,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
56,33931,21,7905,Upper flat,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
57,2027736,22,7977,Gentle slope,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
58,194950,22,7929,Gentle slope,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
59,63294,39,7908,Pluvial flat,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
60,123043,32,7929,Valley/toe slope,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
61,1029439,22,9817,Gentle slope,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,1
62,60001,22,7978,Gentle slope,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat,0
63,21219,39,7973,Pluvial flat,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
64,330484,31,7977,Wet Flat,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
65,1628323,50,7292,Water,Open Water,Open Water,Open Water,0
66,3637,31,7412,Wet Flat,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
67,38693,39,7298,Pluvial flat,Developed-High Intensity,Developed-High Intensity,Developed-High Intensity,0
68,96584,31,7292,Wet Flat,Open Water,Open Water,Open Water,0
69,31946,50,9817,Water,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,0
70,173714,31,9180,Wet Flat,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies,0
71,15160,50,7310,Water,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,0
72,1050882,22,7310,Gentle slope,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,1
73,18001,39,9180,Pluvial flat,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies,0
74,5172,50,9315,Water,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,0
75,8496,32,7292,Valley/toe slope,Open Water,Open Water,Open Water,0
76,139241,22,7311,Gentle slope,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,1
77,1107,22,7292,Gentle slope,Open Water,Open Water,Open Water,0
78,10642,50,7977,Water,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
79,113093,50,9180,Water,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies,0
80,27629,39,7292,Pluvial flat,Open Water,Open Water,Open Water,0
81,177152,31,7311,Wet Flat,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,0
82,42,39,9056,Pluvial flat,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests,0
83,127957,39,9179,Pluvial flat,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
84,106789,39,7311,Pluvial flat,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,0
85,156663,50,9179,Water,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
86,263840,31,7310,Wet Flat,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,0
87,108812,30,7311,Dry flat,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,1
88,240502,31,9817,Wet Flat,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,0
89,4639,21,9177,Upper flat,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests,0
90,2622,31,7978,Wet Flat,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat,0
91,5999,50,9318,Water,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,0
92,130216,21,7311,Upper flat,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,1
93,6531,50,7311,Water,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,0
94,2046,31,7973,Wet Flat,Eastern Cool Temperate Row Crop - Close Grown Crop,Agricultural,Agricultural-Row Crop-Close Grown Crop,0
95,9675,50,9683,Water,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
96,64071,21,7314,Upper flat,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
97,313722,31,9177,Wet Flat,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests,0
98,151,50,9056,Water,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests,0
99,28658,21,7302,Upper flat,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
100,273027,30,7310,Dry flat,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,1
101,78442,30,7314,Dry flat,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
102,1109438,31,9179,Wet Flat,North-Central Interior Floodplain Forest,Riparian,Eastern Floodplain Forests,0
103,13699,22,7421,Gentle slope,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
104,151349,22,7314,Gentle slope,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
105,356823,24,7311,Sideslope SW warm,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,1
106,19406,24,7302,Sideslope SW warm,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
107,2389,21,7909,Upper flat,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
108,973108,32,9817,Valley/toe slope,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,0
109,38282,22,7302,Gentle slope,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
110,4031533,24,7310,Sideslope SW warm,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,1
111,1331940,32,7310,Valley/toe slope,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,0
112,6057,39,7412,Pluvial flat,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
113,186399,32,7311,Valley/toe slope,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,0
114,23258,30,7302,Dry flat,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
115,26809,31,9679,Wet Flat,North-Central Interior Floodplain Shrubland,Riparian,Eastern Floodplain Forests,0
116,35817,32,7302,Valley/toe slope,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
117,10192,50,7974,Water,Eastern Cool Temperate Row Crop,Agricultural,Agricultural-Row Crop,0
118,100721,22,7908,Gentle slope,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
119,45200,31,7302,Wet Flat,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
120,46987,22,7905,Gentle slope,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
121,203594,22,7296,Gentle slope,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
122,4442,39,7481,Pluvial flat,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests,0
123,97685,31,7314,Wet Flat,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
124,2351,30,7481,Dry flat,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests,0
125,403,31,9056,Wet Flat,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Peatland Forests,0
126,420006,31,9178,Wet Flat,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests,0
127,1884950,24,7977,Sideslope SW warm,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
128,5225,30,9180,Dry flat,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies,0
129,8829,39,7302,Pluvial flat,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
130,183889,39,7310,Pluvial flat,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,0
131,5433,30,9177,Dry flat,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests,0
132,76787,39,7314,Pluvial flat,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
133,43971,31,7481,Wet Flat,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests,0
134,9317,22,7395,Gentle slope,North-Central Oak Barrens Woodland,Hardwood,Black Oak Woodland and Savanna,1
135,111252,30,9315,Dry flat,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,1
136,12837,21,7927,Upper flat,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
137,1568,39,9112,Pluvial flat,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest,0
138,1052,39,7909,Pluvial flat,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
139,26917,30,7238,Dry flat,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,1
140,123027,39,9315,Pluvial flat,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,0
141,285403,32,7314,Valley/toe slope,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
142,1824,39,7926,Pluvial flat,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
143,48459,39,7362,Pluvial flat,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
144,70466,39,7239,Pluvial flat,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,0
145,3151,31,7905,Wet Flat,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
146,1233,30,7909,Dry flat,Eastern Cool Temperate Urban Shrubland,Developed,Developed-Upland Shrubland,0
147,972,39,7928,Pluvial flat,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
148,55070,32,7239,Valley/toe slope,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,0
149,24671,32,7925,Valley/toe slope,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
150,7071,31,7296,Wet Flat,Developed-Low Intensity,Developed-Low Intensity,Developed-Low Intensity,0
151,52547,30,7362,Dry flat,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
152,154693,31,9318,Wet Flat,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,0
153,210227,22,9315,Gentle slope,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,1
154,104338,21,9315,Upper flat,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,1
155,31484,22,7925,Gentle slope,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
156,2764,21,9180,Upper flat,North-Central Interior Freshwater Marsh,Riparian,Inland Marshes and Prairies,0
157,55551,39,9178,Pluvial flat,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests,0
158,4401562,23,7310,Sideslope NE cool,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,0
159,2963,22,7906,Gentle slope,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
160,3463,31,7925,Wet Flat,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
161,12116,50,9177,Water,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests,0
162,88400,30,7239,Dry flat,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,1
163,18164,32,7238,Valley/toe slope,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,0
164,236392,23,7299,Sideslope NE cool,Developed-Roads,Developed-Roads,Developed-Roads,0
165,55171,31,7299,Wet Flat,Developed-Roads,Developed-Roads,Developed-Roads,0
166,3076,32,7906,Valley/toe slope,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
167,46444,32,7905,Valley/toe slope,Eastern Cool Temperate Urban Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
168,5384,21,7906,Upper flat,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
169,3675,30,7906,Dry flat,Eastern Cool Temperate Urban Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
170,3034,21,9683,Upper flat,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
171,2414,50,9183,Water,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies,0
172,457981,23,9817,Sideslope NE cool,Northern & Central Ruderal Meadow,Exotic Herbaceous,Introduced Perennial Grassland and Forbland,0
173,231710,23,7311,Sideslope NE cool,North-Central Interior Dry Oak Forest and Woodland,Hardwood,Black Oak Woodland and Savanna,0
174,2393,21,9112,Upper flat,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest,0
175,64566,21,7362,Upper flat,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
176,2394,21,7926,Upper flat,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
177,26141,39,9683,Pluvial flat,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
178,2699,22,7412,Gentle slope,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
179,99030,22,7297,Gentle slope,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
180,10589,21,7907,Upper flat,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
181,6561,30,7907,Dry flat,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
182,434,50,7302,Water,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Yellow Birch-Sugar Maple Forest,0
183,7976,50,9178,Water,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests,0
184,10504,39,9317,Pluvial flat,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,0
185,2808,31,7907,Wet Flat,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
186,7304,30,7927,Dry flat,Eastern Cool Temperate Developed Mixed Forest,Developed,Developed-Upland Mixed Forest,0
187,2644,31,7908,Wet Flat,Eastern Cool Temperate Urban Herbaceous,Developed,Developed-Upland Herbaceous,0
188,6334,31,7929,Wet Flat,Eastern Cool Temperate Developed Herbaceous,Developed,Developed-Upland Herbaceous,0
189,66271,32,7297,Valley/toe slope,Developed-Medium Intensity,Developed-Medium Intensity,Developed-Medium Intensity,0
190,1156,30,9120,Dry flat,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow,0
191,72356,39,9318,Pluvial flat,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,0
192,10876,30,9314,Dry flat,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
193,292936,32,9315,Valley/toe slope,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Ruderal Forest,0
194,305,32,9177,Valley/toe slope,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests,0
195,9981,50,7314,Water,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
196,1316,50,7975,Water,Eastern Cool Temperate Close Grown Crop,Agricultural,Agricultural-Close Grown Crop,0
197,116753,31,9120,Wet Flat,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow,0
198,17617,50,9120,Water,Laurentian-Acadian Wet Meadow,Riparian,Wet Meadow,0
199,8904,30,9317,Dry flat,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,1
200,614,50,7481,Water,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests,0
201,11746,22,9317,Gentle slope,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,1
202,18941,30,9178,Dry flat,North-Central Interior and Appalachian Rich Swamp,Riparian,Atlantic Swamp Forests,0
203,19876,39,9177,Pluvial flat,North-Central Interior and Appalachian Acidic Peatland Woodland,Riparian,Atlantic Swamp Forests,0
204,1933,21,7970,Upper flat,Eastern Cool Temperate Orchard,Agricultural,Agricultural-Orchard,0
205,14872,31,7421,Wet Flat,Central Tallgrass Prairie,Grassland,Tallgrass Prairie,0
206,10170,21,9318,Upper flat,Northern & Central Ruderal Wet Meadow & Marsh,Riparian,Introduced Herbaceous Wetland Vegetation,0
207,1704,32,7412,Valley/toe slope,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
208,1869,21,7481,Upper flat,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Atlantic Swamp Forests,0
209,15260,32,9317,Valley/toe slope,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,0
210,29255,22,7362,Gentle slope,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
211,8954,39,7907,Pluvial flat,Eastern Cool Temperate Urban Mixed Forest,Developed,Developed-Upland Mixed Forest,0
212,46474,22,7239,Gentle slope,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,1
213,161420,31,9683,Wet Flat,North-Central Interior Wet Meadow,Riparian,Inland Marshes and Prairies,0
214,50254,22,9312,Gentle slope,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
215,26057,39,7978,Pluvial flat,Eastern Cool Temperate Wheat,Agricultural,Agricultural-Wheat,0
216,33602,32,7362,Valley/toe slope,Laurentian-Acadian Northern Pine Forest,Conifer,Red Pine-White Pine Forest and Woodland,0
217,39571,30,9312,Dry flat,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
218,49869,32,9312,Valley/toe slope,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
219,864001,23,7314,Sideslope NE cool,North-Central Interior Maple-Basswood Forest,Hardwood,Beech-Maple-Basswood Forest,0
220,1628761,23,7977,Sideslope NE cool,Eastern Cool Temperate Pasture and Hayland,Agricultural,Agricultural-Pasture and Hayland,0
221,49776,21,9312,Upper flat,Northeastern North American Temperate Forest Plantation,Conifer,Managed Tree Plantation,0
222,10004,21,9317,Upper flat,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,1
223,12577,31,7238,Wet Flat,Laurentian-Acadian Northern Oak Forest,Hardwood,Red Pine-White Pine Forest and Woodland,0
224,1134,50,7412,Water,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,Tallgrass Prairie,0
225,10758,30,7925,Dry flat,Eastern Cool Temperate Developed Deciduous Forest,Developed,Developed-Upland Deciduous Forest,0
226,98263,21,7239,Upper flat,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,1
227,1031,32,7926,Valley/toe slope,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
228,1577,32,7928,Valley/toe slope,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
229,1364,30,7928,Dry flat,Eastern Cool Temperate Developed Shrubland,Developed,Developed-Upland Shrubland,0
230,1513,22,7926,Gentle slope,Eastern Cool Temperate Developed Evergreen Forest,Developed,Developed-Upland Evergreen Forest,0
231,142988,31,9314,Wet Flat,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian,Ruderal Forest,0
232,61700,31,9183,Wet Flat,North-Central Interior Shrub Swamp,Riparian,Inland Marshes and Prairies,0
233,1890,22,9112,Gentle slope,Laurentian Jack Pine-Red Pine Forest,Conifer,Jack Pine Forest,0
